english_term,greek_term,category,subcategory,difficulty_level,clinical_relevance,related_terms,synonyms,definition,definition_gr
carpals,καρπιαία οστά,anatomy,Skeletal system,basic,medium,metacarpals; phalanges,wrist bones,"The carpals are the eight small bones that make up the wrist joint, connecting the forearm to the hand.","Τα καρπιαία οστά είναι τα οκτώ μικρά οστά που σχηματίζουν την άρθρωση του καρπού, συνδέοντας το αντιβράχιο με το χέρι."
metacarpals,μετακάρπια οστά,anatomy,Skeletal system,basic,medium,carpals; phalanges,hand bones,"The metacarpals are the five long bones in the hand, located between the carpals (wrist bones) and the phalanges (finger bones).","Τα μετακάρπια οστά είναι τα πέντε μακριά οστά του χεριού, που βρίσκονται μεταξύ των καρπιαίων οστών (καρπού) και των φαλάγγων (οστά δακτύλων)."
phalanges,φάλαγγες,anatomy,Skeletal system,basic,medium,metacarpals,finger bones,"Phalanges are the bones of the fingers and toes; in the hand, each finger has three phalanges (except the thumb which has two).","Οι φάλαγγες είναι τα οστά των δακτύλων των χεριών και των ποδιών· στο χέρι, κάθε δάκτυλο έχει τρεις φάλαγγες (εκτός από τον αντίχειρα που έχει δύο)."
superficial temporal artery,επιπολής κροταφική αρτηρία,anatomy,Cardiovascular system,advanced,medium,external carotid artery,temporal artery,"The superficial temporal artery is a major artery of the head, arising from the external carotid artery:contentReference[oaicite:3]{index=3}.",Η επιπολής κροταφική αρτηρία είναι ο μικρότερος από τους δύο τελικούς κλάδους της έξω καρωτίδας:contentReference[oaicite:4]{index=4}.
internal jugular vein,έσω σφαγίτιδα φλέβα,anatomy,Cardiovascular system,intermediate,high,external jugular vein; carotid artery,jugular vein,"The internal jugular vein is a large vein in the neck that drains blood from the brain, face, and neck, and returns it to the heart.","Η έσω σφαγίτιδα φλέβα είναι μια μεγάλη φλέβα στον τράχηλο που παροχετεύει αίμα από τον εγκέφαλο, το πρόσωπο και τον λαιμό, επιστρέφοντάς το στην καρδιά."
common carotid artery,κοινή καρωτίδα αρτηρία,anatomy,Cardiovascular system,basic,high,jugular vein; external carotid artery,carotid artery,The common carotid artery is a major artery in the neck that supplies blood to the head and neck; its pulse (carotid pulse) is often checked in physical exams:contentReference[oaicite:5]{index=5}.,Η κοινή καρωτίδα είναι μια κύρια αρτηρία στον τράχηλο που αιματώνει το κεφάλι και τον λαιμό· ο σφυγμός της (σφυγμός καρωτίδας) ελέγχεται συχνά στην κλινική εξέταση.
thyroid gland,θυρεοειδής αδένας,anatomy,Endocrine system,basic,high,trachea; larynx,,"The thyroid gland is an endocrine gland located in the neck, producing hormones that regulate metabolism.","Ο θυρεοειδής αδένας είναι ένας ενδοκρινής αδένας στον τράχηλο, που παράγει ορμόνες ρυθμιστικές του μεταβολισμού."
trachea,τραχεία,anatomy,Respiratory system,basic,high,larynx; bronchi,windpipe,"The trachea, or windpipe, is the airway tube that connects the larynx to the bronchi, allowing passage of air to the lungs.","Η τραχεία είναι ο αεραγωγός σωλήνας που συνδέει τον λάρυγγα με τους βρόγχους, επιτρέποντας τη διέλευση του αέρα προς τους πνεύμονες."
palatine tonsils,παλατινές αμυγδαλές,anatomy,Lymphatic system,basic,medium,pharynx; lymph nodes,tonsils,"The palatine tonsils (tonsils) are masses of lymphoid tissue located at the back of the throat, which help fight infections.","Οι παλατινές αμυγδαλές είναι μάζες λεμφικού ιστού στο πίσω μέρος του φάρυγγα, που βοηθούν στην αντιμετώπιση λοιμώξεων."
tongue,γλώσσα,anatomy,Digestive system,basic,high,mouth; taste buds,,"The tongue is a muscular organ in the mouth that assists in chewing, swallowing, and is the primary organ of taste.","Η γλώσσα είναι ένας μυώδης οργανισμός στο στόμα που βοηθά στη μάσηση, στην κατάποση και αποτελεί το κύριο όργανο της γεύσης."
teeth,δόντια,anatomy,Digestive system,basic,high,mandible; maxilla,tooth (singular),"The teeth are hard, calcified structures in the mouth used for biting and chewing food.","Τα δόντια είναι σκληρές, ασβεστοποιημένες δομές στο στόμα που χρησιμοποιούνται για το δάγκωμα και τη μάσηση της τροφής."
pharynx,φάρυγγας,anatomy,Digestive system,basic,high,esophagus; trachea,throat,"The pharynx (throat) is the muscular tube that connects the nasal and oral cavities to the esophagus and larynx, serving both respiratory and digestive functions.","Ο φάρυγγας είναι ο μυϊκός σωλήνας που συνδέει τις ρινικές και στοματικές κοιλότητες με τον οισοφάγο και τον λάρυγγα, εξυπηρετώντας τόσο την αναπνοή όσο και την πέψη."
heart,καρδιά,anatomy,Cardiovascular system,basic,high,aorta; lungs,cardiac organ,"The heart is a muscular organ that pumps blood through the circulatory system, supplying oxygen and nutrients to tissues.","Η καρδιά είναι ένα μυϊκό όργανο που αντλεί αίμα στο κυκλοφορικό σύστημα, παρέχοντας οξυγόνο και θρεπτικά συστατικά στους ιστούς."
lung,πνεύμονας,anatomy,Respiratory system,basic,high,bronchus; trachea,pulmonary organ,"The lung is a respiratory organ responsible for gas exchange, taking in oxygen and expelling carbon dioxide.","Ο πνεύμονας είναι το αναπνευστικό όργανο υπεύθυνο για την ανταλλαγή αερίων, προσλαμβάνοντας οξυγόνο και αποβάλλοντας διοξείδιο του άνθρακα."
bronchus,βρόγχος,anatomy,Respiratory system,basic,high,trachea; lungs,bronchi (plural),"A bronchus is one of the two large air passages that branch from the trachea into each lung, further dividing into smaller bronchioles:contentReference[oaicite:6]{index=6}.",Ο βρόγχος είναι μία από τις δύο μεγάλες αεροφόρους οδούς που διακλαδίζονται από την τραχεία σε κάθε πνεύμονα και περαιτέρω διαιρούνται σε μικρότερους βρογχίους.
esophagus,οισοφάγος,anatomy,Digestive system,basic,high,pharynx; stomach,food pipe,The esophagus is the muscular tube that carries food and liquids from the pharynx to the stomach.,Ο οισοφάγος είναι ο μυϊκός σωλήνας που μεταφέρει την τροφή και τα υγρά από τον φάρυγγα στο στομάχι.
aorta,αορτή,anatomy,Cardiovascular system,basic,high,heart; arteries,,"The aorta is the largest artery in the body, originating from the heart's left ventricle and distributing oxygenated blood to the circulatory system:contentReference[oaicite:7]{index=7}.","Η αορτή είναι η μεγαλύτερη αρτηρία του σώματος, ξεκινά από την αριστερή κοιλία της καρδιάς και διανέμει οξυγονωμένο αίμα στο κυκλοφορικό σύστημα."
mitral valve,μιτροειδής βαλβίδα,anatomy,Cardiovascular system,intermediate,high,heart; tricuspid valve,bicuspid valve,"The mitral valve is one of the four heart valves, located between the left atrium and left ventricle, preventing backflow of blood into the atrium:contentReference[oaicite:8]{index=8}.","Η μιτροειδής βαλβίδα είναι μία από τις τέσσερις καρδιακές βαλβίδες, βρίσκεται μεταξύ του αριστερού κόλπου και της αριστερής κοιλίας και εμποδίζει την παλινδρόμηση αίματος προς τον κόλπο."
tricuspid valve,τριγλώχινη βαλβίδα,anatomy,Cardiovascular system,intermediate,high,heart; mitral valve,,"The tricuspid valve is the heart valve located between the right atrium and right ventricle, ensuring one-way blood flow from atrium to ventricle:contentReference[oaicite:9]{index=9}.","Η τριγλώχινη βαλβίδα είναι η καρδιακή βαλβίδα που βρίσκεται μεταξύ του δεξιού κόλπου και της δεξιάς κοιλίας, διασφαλίζοντας τη μονόδρομη ροή αίματος από τον κόλπο στην κοιλία."
aortic valve,αορτική βαλβίδα,anatomy,Cardiovascular system,intermediate,high,heart; pulmonary valve,,"The aortic valve is the valve between the left ventricle of the heart and the aorta, which opens to allow blood to exit the heart into the aorta:contentReference[oaicite:10]{index=10}.","Η αορτική βαλβίδα είναι η βαλβίδα μεταξύ της αριστερής κοιλίας της καρδιάς και της αορτής, η οποία ανοίγει για να επιτρέψει στο αίμα να εξέλθει από την καρδιά προς την αορτή."
pulmonary valve,πνευμονική βαλβίδα,anatomy,Cardiovascular system,intermediate,high,heart; aortic valve,,"The pulmonary valve is the heart valve between the right ventricle and the pulmonary artery, allowing blood to flow to the lungs and preventing backflow into the ventricle:contentReference[oaicite:11]{index=11}.","Η πνευμονική βαλβίδα είναι η καρδιακή βαλβίδα μεταξύ της δεξιάς κοιλίας και της πνευμονικής αρτηρίας, που επιτρέπει τη ροή του αίματος προς τους πνεύμονες και αποτρέπει την παλινδρόμηση στην κοιλία."
liver,ήπαρ,anatomy,Digestive system,basic,high,gallbladder; pancreas,liver organ,"The liver is a vital organ found in vertebrates that performs many essential functions (detoxification, protein synthesis, bile production):contentReference[oaicite:12]{index=12}.","Το ήπαρ ή συκώτι είναι ζωτικό όργανο που επιτελεί πολλές βασικές λειτουργίες, όπως αποτοξίνωση, σύνθεση πρωτεϊνών και παραγωγή χολής:contentReference[oaicite:13]{index=13}."
spleen,σπλήνας,anatomy,Lymphatic system,basic,high,lymph nodes; immune system,,The spleen is an organ in the upper left abdomen involved in filtering blood and supporting the immune system by managing blood cells.,Ο σπλήνας είναι ένα όργανο στο πάνω αριστερό μέρος της κοιλιάς που συμμετέχει στη διήθηση του αίματος και υποστηρίζει το ανοσοποιητικό σύστημα μέσω της διαχείρισης των αιμοσφαιρίων.
kidney,νεφρός,anatomy,Urinary system,basic,high,ureter; bladder,renal organ,A kidney is one of the two bean-shaped organs in the back of the abdomen that filter blood to produce urine:contentReference[oaicite:14]{index=14}.,Ο νεφρός είναι ένα από τα δύο οργανοειδή σε σχήμα φασολιού στο πίσω μέρος της κοιλιάς που φιλτράρουν το αίμα για την παραγωγή ούρων.
adrenal gland,επινεφρίδιος αδένας,anatomy,Endocrine system,intermediate,medium,kidney; hormones,suprarenal gland,"The adrenal gland is an endocrine gland sitting atop each kidney, producing hormones like adrenaline and cortisol.",Ο επινεφρίδιος αδένας είναι ένας ενδοκρινής αδένας που εδράζεται πάνω από κάθε νεφρό και παράγει ορμόνες όπως η αδρεναλίνη και η κορτιζόλη.
stomach,στομάχι,anatomy,Digestive system,basic,high,esophagus; small intestine,,"The stomach is a muscular, hollow organ in the upper abdomen that digests food by churning it with gastric juices.","Το στομάχι είναι ένα μυώδες, κοίλο όργανο στο άνω μέρος της κοιλιάς που πεπτεί την τροφή αναμειγνύοντάς την με γαστρικά υγρά."
small intestine,λεπτό έντερο,anatomy,Digestive system,basic,high,stomach; large intestine,,"The small intestine is the long, coiled organ where most digestion and nutrient absorption occurs, connecting the stomach to the large intestine:contentReference[oaicite:15]{index=15}.","Το λεπτό έντερο είναι το μακρύ, ελικοειδές όργανο όπου πραγματοποιείται το μεγαλύτερο μέρος της πέψης και της απορρόφησης θρεπτικών ουσιών, συνδέοντας το στομάχι με το παχύ έντερο."
large intestine,παχύ έντερο,anatomy,Digestive system,basic,high,small intestine; rectum,colon,"The large intestine (colon) is the final part of the digestive tract, absorbing water and forming stool from indigestible food matter:contentReference[oaicite:16]{index=16}.","Το παχύ έντερο (κόλον) είναι το τελικό τμήμα του πεπτικού σωλήνα, που απορροφά νερό και σχηματίζει τα κόπρανα από τα μη αφομοιώσιμα υπολείμματα."
pancreas,πάγκρεας,anatomy,Digestive system,basic,high,liver; duodenum,,The pancreas is a glandular organ behind the stomach that produces digestive enzymes and hormones (like insulin).,Το πάγκρεας είναι ένας αδενώδης οργανισμός πίσω από το στομάχι που παράγει πεπτικά ένζυμα και ορμόνες (όπως η ινσουλίνη).
gallbladder,χοληδόχος κύστη,anatomy,Digestive system,basic,high,liver; bile,,"The gallbladder is a small sac-like organ beneath the liver that stores and concentrates bile, releasing it into the small intestine to aid digestion:contentReference[oaicite:17]{index=17}.","Η χοληδόχος κύστη είναι ένα μικρό σάκος κάτω από το ήπαρ που αποθηκεύει και συμπυκνώνει τη χολή, απελευθερώνοντάς την στο λεπτό έντερο για να βοηθήσει στην πέψη."
vermiform appendix,σκωληκοειδής απόφυση,anatomy,Digestive system,basic,medium,cecum,appendix,"The vermiform appendix is a narrow, tube-shaped pouch attached to the cecum (beginning of the large intestine). Inflammation of the appendix causes appendicitis:contentReference[oaicite:18]{index=18}.","Η σκωληκοειδής απόφυση είναι ένας στενός, σωληνοειδής θύλακος που συνδέεται με το τυφλό (αρχή του παχέος εντέρου). Η φλεγμονή της απόφυσης προκαλεί σκωληκοειδίτιδα."
urinary bladder,ουροδόχος κύστη,anatomy,Urinary system,basic,high,kidney; urethra,bladder,The urinary bladder is a hollow muscular organ in the pelvis that stores urine before urination.,Η ουροδόχος κύστη είναι ένα κοίλο μυώδες όργανο στην πύελο που αποθηκεύει τα ούρα πριν την ούρηση.
ureter,ουρητήρας,anatomy,Urinary system,basic,medium,kidney; bladder,,A ureter is one of the two muscular tubes that carry urine from the kidneys to the urinary bladder:contentReference[oaicite:19]{index=19}.,Ο ουρητήρας είναι ένας από τους δύο μυώδεις σωλήνες που μεταφέρουν ούρα από τους νεφρούς στην ουροδόχο κύστη.
urethra,ουρήθρα,anatomy,Urinary system,basic,medium,bladder,,The urethra is the tube that conducts urine from the urinary bladder to the outside of the body during urination.,Η ουρήθρα είναι ο σωλήνας που διοχετεύει τα ούρα από την ουροδόχο κύστη προς τα έξω κατά την ούρηση.
prostate gland,προστάτης αδένας,anatomy,Male reproductive system,basic,high,seminal vesicles; urethra,prostate,"The prostate gland is a walnut-sized gland in males, located below the bladder, that produces seminal fluid; it can be felt during a digital rectal exam:contentReference[oaicite:20]{index=20}:contentReference[oaicite:21]{index=21}.","Ο προστάτης αδένας είναι ένας αδένας μεγέθους καρυδιού στους άνδρες, κάτω από την ουροδόχο κύστη, που παράγει υγρό του σπέρματος; μπορεί να ψηλαφηθεί κατά την δακτυλική εξέταση του ορθού:contentReference[oaicite:22]{index=22}."
testis,όρχις,anatomy,Male reproductive system,basic,high,epididymis; scrotum,testicle,"The testis (testicle) is the male reproductive gland located in the scrotum, responsible for producing sperm and testosterone.",Ο όρχις είναι ο ανδρικός αναπαραγωγικός αδένας που βρίσκεται στο όσχεο και είναι υπεύθυνος για την παραγωγή σπερματοζωαρίων και τεστοστερόνης.
epididymis,επιδιδυμίδα,anatomy,Male reproductive system,intermediate,medium,testis; vas deferens,,The epididymis is a coiled tube at the back of the testis where sperm mature and are stored:contentReference[oaicite:23]{index=23}.,Η επιδιδυμίδα είναι ένας ελικοειδής σωλήνας στο πίσω μέρος του όρχεως όπου τα σπερματοζωάρια ωριμάζουν και αποθηκεύονται:contentReference[oaicite:24]{index=24}.
vas deferens,σπερματικός πόρος,anatomy,Male reproductive system,intermediate,medium,epididymis; ejaculatory duct,ductus deferens,The vas deferens is the duct that transports sperm from the epididymis toward the urethra as part of ejaculation:contentReference[oaicite:25]{index=25}.,Ο σπερματικός πόρος είναι ο αγωγός που μεταφέρει τα σπερματοζωάρια από την επιδιδυμίδα προς την ουρήθρα στο πλαίσιο της εκσπερμάτισης:contentReference[oaicite:26]{index=26}.
spermatic cord,σπερματικός τόνος,anatomy,Male reproductive system,advanced,medium,vas deferens; testicular artery,,"The spermatic cord is a bundle of fibers and tissues (including vas deferens, blood vessels, nerves) that runs from the abdomen to each testicle:contentReference[oaicite:27]{index=27}.","Ο σπερματικός τόνος είναι μία δέσμη ινών και ιστών (που περιλαμβάνει τον σπερματικό πόρο, αγγεία, νεύρα) που εκτείνεται από την κοιλιά έως κάθε όρχι:contentReference[oaicite:28]{index=28}."
ovary,ωοθήκη,anatomy,Female reproductive system,basic,high,uterus; fallopian tube,,The ovary is a female reproductive gland located in the pelvis that produces eggs (ova) and hormones such as estrogen.,Η ωοθήκη είναι ο θηλυκός αναπαραγωγικός αδένας που βρίσκεται στην πύελο και παράγει ωάρια και ορμόνες όπως τα οιστρογόνα.
uterus,μήτρα,anatomy,Female reproductive system,basic,high,ovary; vagina,womb,"The uterus (womb) is a hollow, muscular female reproductive organ in the pelvis where a fertilized egg implants and a fetus develops.","Η μήτρα είναι ένα κοίλο, μυώδες όργανο του θηλυκού αναπαραγωγικού συστήματος στην πύελο, όπου εμφυτεύεται το γονιμοποιημένο ωάριο και αναπτύσσεται το έμβρυο."
lymph node,λεμφαδένας,anatomy,Lymphatic system,basic,high,lymphatic system; spleen,lymph gland,"A lymph node is a small, bean-shaped structure that is part of the lymphatic system; it filters lymph fluid and contains immune cells. Swollen lymph nodes (lymphadenopathy) can indicate infection:contentReference[oaicite:29]{index=29}:contentReference[oaicite:30]{index=30}.",Ο λεμφαδένας είναι μια μικρή δομή σε σχήμα φασολιού που αποτελεί μέρος του λεμφικού συστήματος· φιλτράρει τη λέμφο και περιέχει ανοσοποιητικά κύτταρα. Η διόγκωση των λεμφαδένων (λεμφαδενοπάθεια) μπορεί να υποδηλώνει λοίμωξη:contentReference[oaicite:31]{index=31}:contentReference[oaicite:32]{index=32}.
blood pressure,αρτηριακή πίεση,physiology,,basic,high,heart rate; hypertension,arterial pressure,"Blood pressure is the force exerted by circulating blood on the walls of blood vessels, typically measured in the brachial artery:contentReference[oaicite:33]{index=33}.","Η αρτηριακή πίεση είναι η δύναμη που ασκεί το κυκλοφορούν αίμα στα τοιχώματα των αρτηριών, συνήθως μετράται στη βραχιόνια αρτηρία:contentReference[oaicite:34]{index=34}."
heart rate,καρδιακή συχνότητα,physiology,,basic,high,pulse; tachycardia; bradycardia,pulse rate,"Heart rate is the number of heartbeats per minute, indicating how fast the heart is pumping.","Η καρδιακή συχνότητα είναι ο αριθμός των καρδιακών παλμών ανά λεπτό, που δείχνει πόσο γρήγορα αντλεί η καρδιά."
pulse,σφυγμός,physiology,,basic,high,heart rate; blood pressure,pulse beat,The pulse is the palpable throbbing of arteries as blood is propelled through them with each heartbeat; it can be felt in arteries like the radial or carotid:contentReference[oaicite:35]{index=35}.,Ο σφυγμός είναι η αισθητή παλμική κίνηση των αρτηριών καθώς το αίμα ωθείται μέσα από αυτές με κάθε καρδιακό παλμό· μπορεί να ψηλαφηθεί σε αρτηρίες όπως η κερκιδική ή η καρωτίδα:contentReference[oaicite:36]{index=36}.
respiratory rate,αναπνευστική συχνότητα,physiology,,basic,high,breath sounds; oxygen saturation,breathing rate,"Respiratory rate is the number of breaths taken per minute, reflecting the rate of ventilation.","Η αναπνευστική συχνότητα είναι ο αριθμός αναπνοών ανά λεπτό, που αντικατοπτρίζει τον ρυθμό αερισμού."
body temperature,θερμοκρασία σώματος,physiology,,basic,high,fever; hypothermia,body temp,Body temperature is the measure of the body's internal heat. The normal average is about 37°C orally; variations can indicate fever or hypothermia.,Η θερμοκρασία σώματος είναι η μέτρηση της εσωτερικής θερμότητας του σώματος. Η φυσιολογική μέση τιμή είναι περίπου 37°C από το στόμα· αποκλίσεις μπορεί να υποδηλώνουν πυρετό ή υποθερμία.
reflex,αντανακλαστικό,physiology,,basic,high,pupillary reflex; knee-jerk reflex,,"A reflex is an involuntary, fast response to a stimulus, mediated by the nervous system (for example, the knee-jerk reflex or the gag reflex).","Το αντανακλαστικό είναι μια ακούσια, ταχεία αντίδραση σε ένα ερέθισμα, που διαμεσολαβείται από το νευρικό σύστημα (για παράδειγμα, το αντανακλαστικό του γόνατος ή του φάρυγγα)."
peristalsis,περισταλτισμός,physiology,,basic,medium,digestion; bowel sounds,,"Peristalsis is the coordinated, wave-like contraction of smooth muscles in the digestive tract that moves food through the intestines:contentReference[oaicite:37]{index=37}.","Ο περισταλτισμός είναι η συντονισμένη, κυματιστή σύσπαση των λείων μυών στον πεπτικό σωλήνα που προωθεί την τροφή μέσω των εντέρων:contentReference[oaicite:38]{index=38}."
tachycardia,ταχυκαρδία,physiology,,basic,high,bradycardia; heart rate,rapid heart rate,"Tachycardia is an abnormally fast heart rate, generally defined as a resting heart rate above 100 beats per minute in adults:contentReference[oaicite:39]{index=39}.","Η ταχυκαρδία είναι ο ασυνήθιστα γρήγορος καρδιακός ρυθμός, συνήθως ορίζεται ως καρδιακή συχνότητα σε ηρεμία πάνω από 100 παλμούς ανά λεπτό στους ενήλικες:contentReference[oaicite:40]{index=40}."
bradycardia,βραδυκαρδία,physiology,,basic,high,tachycardia; heart rate,slow heart rate,"Bradycardia is an abnormally slow heart rate, typically defined as a resting heart rate below 60 beats per minute in adults:contentReference[oaicite:41]{index=41}.","Η βραδυκαρδία είναι ο ασυνήθιστα αργός καρδιακός ρυθμός, συνήθως ορίζεται ως καρδιακή συχνότητα σε ηρεμία κάτω από 60 παλμούς ανά λεπτό στους ενήλικες:contentReference[oaicite:42]{index=42}."
cyanosis,κυάνωση,physiology,,basic,high,hypoxia,bluish discoloration,"Cyanosis is a bluish discoloration of the skin and mucous membranes due to insufficient oxygenation of the blood, often seen in hypoxia:contentReference[oaicite:43]{index=43}.","Η κυάνωση είναι ο μπλε-μωβ αποχρωματισμός του δέρματος και των βλεννογόνων λόγω ανεπαρκούς οξυγόνωσης του αίματος, που παρατηρείται συχνά σε υποξία:contentReference[oaicite:44]{index=44}."
jaundice,ίκτερος,physiology,,basic,high,bilirubin; hepatitis,icterus,"Jaundice is a yellowish discoloration of the skin and eyes caused by elevated bilirubin levels, often due to liver dysfunction.","Ο ίκτερος είναι ο κιτρινωπός αποχρωματισμός του δέρματος και των ματιών που προκαλείται από αυξημένα επίπεδα χολερυθρίνης, συνήθως λόγω ηπατικής δυσλειτουργίας."
edema,οίδημα,physiology,,basic,high,inflammation; heart failure,swelling,"Edema is swelling caused by excess fluid trapped in the body's tissues, which can occur in various parts of the body (e.g., ankles, lungs).","Το οίδημα είναι το πρήξιμο που προκαλείται από περίσσεια υγρού παγιδευμένου στους ιστούς του σώματος και μπορεί να εμφανιστεί σε διάφορα μέρη του σώματος (π.χ. αστραγάλους, πνεύμονες)."
S1 (first heart sound),S1 (πρώτος καρδιακός ήχος),physiology,,intermediate,medium,S2 (second heart sound),,"S1 is the first heart sound, produced by the closure of the mitral and tricuspid valves at the start of ventricular contraction (systole):contentReference[oaicite:45]{index=45}.","Το S1 είναι ο πρώτος καρδιακός ήχος, που παράγεται από το κλείσιμο της μιτροειδούς και της τριγλώχινης βαλβίδας στην έναρξη της συστολής των κοιλιών:contentReference[oaicite:46]{index=46}."
S2 (second heart sound),S2 (δεύτερος καρδιακός ήχος),physiology,,intermediate,medium,S1 (first heart sound),,"S2 is the second heart sound, caused by the closure of the aortic and pulmonary valves at the end of ventricular systole (beginning of diastole):contentReference[oaicite:47]{index=47}.","Το S2 είναι ο δεύτερος καρδιακός ήχος, που προκαλείται από το κλείσιμο της αορτικής και της πνευμονικής βαλβίδας στο τέλος της συστολής των κοιλιών (αρχή της διαστολής):contentReference[oaicite:48]{index=48}."
S3 (third heart sound),S3 (τρίτος καρδιακός ήχος),physiology,,advanced,medium,heart failure,,"S3 is the third heart sound, a low-frequency sound occurring early in diastole; it can be a normal finding in young people or a sign of heart failure in older adults:contentReference[oaicite:49]{index=49}.","Το S3 είναι ο τρίτος καρδιακός ήχος, ένας ήχος χαμηλής συχνότητας που εμφανίζεται νωρίς στη διαστολή· μπορεί να είναι φυσιολογικό εύρημα σε νέους ή ένδειξη καρδιακής ανεπάρκειας σε μεγαλύτερους ενήλικες:contentReference[oaicite:50]{index=50}."
S4 (fourth heart sound),S4 (τέταρτος καρδιακός ήχος),physiology,,advanced,medium,stiff ventricle,,"S4 is the fourth heart sound, heard just before S1 (late diastole) often due to a stiff left ventricle; it is associated with conditions like left ventricular hypertrophy:contentReference[oaicite:51]{index=51}.","Το S4 είναι ο τέταρτος καρδιακός ήχος, που ακούγεται λίγο πριν το S1 (όψιμη διαστολή) και συχνά οφείλεται σε μη ευένδοτη αριστερή κοιλία· συνδέεται με καταστάσεις όπως η υπερτροφία της αριστερής κοιλίας:contentReference[oaicite:52]{index=52}."
